COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2010,USD,US Dollar,6,Millions,2010,46.157,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2011,USD,US Dollar,6,Millions,2010,31.535,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2012,USD,US Dollar,6,Millions,2010,55.552,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2013,USD,US Dollar,6,Millions,2010,20.013,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2014,USD,US Dollar,6,Millions,2010,33.012,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2015,USD,US Dollar,6,Millions,2010,18.448,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2016,USD,US Dollar,6,Millions,2010,18.494,D,Difference in methodology
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2017,USD,US Dollar,6,Millions,2010,18.21,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS03,Exploration and exploitation of space,DF6,2010 Dollars - Constant prices and PPPs,2018,USD,US Dollar,6,Millions,2010,32.578,D; E; P,Difference in methodology; Estimated value; Provisional value
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",DF6,2010 Dollars - Constant prices and PPPs,2010,USD,US Dollar,6,Millions,2010,67.51,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",DF6,2010 Dollars - Constant prices and PPPs,2011,USD,US Dollar,6,Millions,2010,74.281,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",DF6,2010 Dollars - Constant prices and PPPs,2012,USD,US Dollar,6,Millions,2010,82.552,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",DF6,2010 Dollars - Constant prices and PPPs,2013,USD,US Dollar,6,Millions,2010,93.548,D,Difference in methodology
